atomic_id,domain,atomic_subtopic,papers,assessment_modes,template_family,recommended_hooks,base_sequence,recommended_asset_formats,personalized_delta_slots,attention_design_hypothesis,base_content_contract,evidence_status
LA-01,Linear Algebra,Matrix algebra and operations,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-02,Linear Algebra,Determinants and determinant properties,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-03,Linear Algebra,Inverse of a matrix,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-04,Linear Algebra,Rank of a matrix,CE|EE|ME|XE-A,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-05,Linear Algebra,Systems of linear equations,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-06,Linear Algebra,Eigenvalues,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-07,Linear Algebra,Eigenvectors,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-08,Linear Algebra,Symmetric-matrix properties,XE-A and paper-dependent overlap,MCQ|MSQ|NAT,eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-09,Linear Algebra,Diagonalization,XE-A; related in CS/branch contexts,MCQ|MSQ|NAT,eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-10,Linear Algebra,Cayley–Hamilton theorem,XE-A,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
LA-11,Linear Algebra,LU decomposition,CS|XE-A and branch-dependent numerical scope,MCQ|MSQ|NAT,matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
CA-01,Calculus,Limits,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,limit,Prediction before calculation|Graphical intuition,hook|graph_or_table|formal_definition|worked_limit|boundary_contrast|recall_prompt|timed_check,interactive_graph|step_reveal|contrast_question,algebra_repair|representation_shift|edge_case_bridge|timed_variant,"Use the first hook and the shortest concrete example that exposes the atomic idea; validate retention, transfer and time-to-method against alternatives.",Stable explanation valid for the topic scope; personalized content attaches through anchor IDs and must not duplicate or silently contradict the base.,design hypothesis requiring learner and outcome validation
