atomic_id,domain,atomic_subtopic,papers,assessment_modes,prerequisite_atomic_ids,downstream_atomic_ids,external_prerequisite_family,template_family,hooks,base_sequence,asset_formats,delta_slots,research_layers_required,generated_artifacts,quality_gates,monitoring_metrics,evidence_status
LA-01,Linear Algebra,Matrix algebra and operations,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,,LA-02|LA-03|LA-04|LA-05|LA-06|LA-08|LA-11|NM-03,"scalar algebra, equations, functions and matrix notation",matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-02,Linear Algebra,Determinants and determinant properties,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,LA-01,LA-03|LA-05|LA-06,"scalar algebra, equations, functions and matrix notation",matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-03,Linear Algebra,Inverse of a matrix,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,LA-01|LA-02,,"scalar algebra, equations, functions and matrix notation",matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-04,Linear Algebra,Rank of a matrix,CE|EE|ME|XE-A,MCQ|MSQ|NAT,LA-01,LA-05|LA-06,"scalar algebra, equations, functions and matrix notation",matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-05,Linear Algebra,Systems of linear equations,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,LA-01|LA-02|LA-04,LA-11|NM-03|NM-04,"scalar algebra, equations, functions and matrix notation",matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-06,Linear Algebra,Eigenvalues,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,LA-01|LA-02|LA-04,LA-07|LA-09|LA-10|NM-04,"scalar algebra, equations, functions and matrix notation",eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-07,Linear Algebra,Eigenvectors,CS|CE|EE|ME|XE-A,MCQ|MSQ|NAT,LA-06,LA-09,"scalar algebra, equations, functions and matrix notation",eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-08,Linear Algebra,Symmetric-matrix properties,XE-A and paper-dependent overlap,MCQ|MSQ|NAT,LA-01,LA-09,"scalar algebra, equations, functions and matrix notation",eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-09,Linear Algebra,Diagonalization,XE-A; related in CS/branch contexts,MCQ|MSQ|NAT,LA-06|LA-07|LA-08,,"scalar algebra, equations, functions and matrix notation",eigen,Special direction intuition|Transformation that preserves direction,hook|geometric_visual|characteristic_equation|worked_example|independence_or_multiplicity_check|recall_prompt|mode_variant,vector_animation|worked_matrix|misconception_contrast,matrix_repair|geometric_bridge|algebra_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
LA-10,Linear Algebra,Cayley–Hamilton theorem,XE-A,MCQ|MSQ|NAT,LA-06,,"scalar algebra, equations, functions and matrix notation",matrix,Shape-before-arithmetic|Transformation intuition,hook|visual_shape|operation_rule|worked_matrix|dimension_or_invariant_check|recall_prompt|mode_variant,matrix_animation|dimension_overlay|mcq_msq_nat_variants,notation_repair|dimension_check|calculation_drill|mode_variant,official_syllabus_scope_and_year|official_question_pattern_and_marking_rules|topic_definitions_theorems_algorithms_and_conditions|prerequisite_dependencies_and_common_misconception_hypotheses|historical_question_pattern_coding_with_evidence_label|worked_examples_and_counterexamples|assessment_mode_variants_mcq_msq_nat_and_descriptive_if_applicable|learner_constraints_time_pressure_deadline_confidence_and_accessibility|source_freshness_provenance_and_conflict_check,research_brief|canonical_content_package|worked_example_set|counterexample_or_boundary_set|assessment_item_set|retrieval_schedule|source_register|validation_report|release_manifest,scope_gate|source_provenance_gate|mathematical_correctness_gate|prerequisite_consistency_gate|assessment_contract_gate|misconception_and_boundary_case_gate|retrieval_and_transfer_gate|accessibility_and_language_gate|citation_completeness_gate|human_review_or_bounded_pilot_gate,scope_freshness|citation_completeness|math_check_pass_rate|item_quality_pass_rate|first_action_latency|immediate_recall|delayed_retrieval|transfer_accuracy|time_to_method|confidence_calibration|support_requests|content_staleness|source_conflict_rate|review_burden,research-required before generation; learner-impact claims require outcome validation
